Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
05-10-2017,Prataap Snacks ,481.94,76.89,101.15,7.62,938,1250,1178.3,25.62,743.5,-20.74
16-10-2017,Godrej Agrovet,1157.31,150.96,236.04,7.67,460,615,595.55,29.47,489.5,6.41
23-10-2017,IEX,1000.7,2.56,0.85,2.61,1650,1500,54.22,-96.71,217.5,-86.82
25-10-2017,General Insuran,11372,2.25,0.22,0.63,912,870.4,435.2,-52.28,129.05,-85.85
06-11-2017,Nippon,1542,118.41,209.44,5.23,252,289,284,12.7,313.4,24.37
10-11-2017,Mahindra Logist,829.36,15.61,2.07,6.11,429,425,429.15,0.03,421.8,-1.68
14-11-2017,Khadim India,493.06,2.45,0.18,2.34,750,727,688.5,-8.2,259.55,-65.39
17-11-2017,HDFC Life,8695.01,16.6,2.29,0.9,290,313,344.25,18.71,590.85,103.74
15-12-2017,Shalby ,504.8,4.34,0.42,2.98,248,237,239.25,-3.53,135.05,-45.54
18-12-2017,Future Supply,649.69,12.36,11.15,3.28,664,674,685.8,3.28,65.8,-90.09
29-12-2017,Astron Paper & ,70,103.35,396.99,77.93,50,120.75,119.7,139.4,44.55,-10.9
22-01-2018,Apollo Micro Sy,156,101.93,958.07,40.19,275,478,454.1,65.13,122.5,-55.45
29-01-2018,Newgen Software,424.62,15.62,5.52,5.18,245,256,253,3.27,553.25,125.82
30-01-2018,Amber Enterpris,600,174.99,519.26,11.65,859,1175,1237.25,44.03,3351,290.1
08-02-2018,Galaxy Surfacta,937.09,54.67,6.96,6,1480,1525,1698.1,14.74,2964.95,100.33
26-02-2018,Aster DM Health,980.14,2.1,0.55,1.18,190,182,179.85,-5.34,189.4,-0.32
09-03-2018,HG Infra Engg,457.7,8.37,4.97,3.08,270,270,270.05,0.02,610.1,125.96
23-03-2018,Bharat Dynamics,960.94,1.5,0.5,1.41,428,360,390.7,-8.71,470.2,9.86
